checkpoint,layer,position,pseudo_source,t,off_axis,t_refused,t_answered,entanglement,cos_vbeh_vref,cos_vbeh_vover,cos_vbeh_vover_orth,n_harmless,n_harmful,n_refused,n_answered,pseudo_read_harmful,t_lo,t_hi,off_axis_lo,off_axis_hi,t_refused_lo,t_refused_hi,t_answered_lo,t_answered_hi,entanglement_lo,entanglement_hi,cos_vbeh_vref_lo,cos_vbeh_vref_hi,cos_vbeh_vover_lo,cos_vbeh_vover_hi,cos_vbeh_vover_orth_lo,cos_vbeh_vover_orth_hi
dpo__none,24,post_instr_2,false_reject,0.1694076296249818,2.6115883464325513,0.01668150413024878,0.46853297403409694,0.06473158299922943,-0.3587462306022644,0.5562323331832886,0.580672562122345,1737,1883,331,169,0.102,-0.9628067329300833,1.6717804397435052,1.414152596120634,3.0009167346787144,-1.0848969630381142,1.6683260284232053,-0.8041662554341259,1.675525020465197,-0.5025763213634491,0.672167944908142,-0.5971653461456299,0.3102536052465436,0.12394556887447834,0.7794834285974502,0.08984128180891277,0.8066879078745839
dpo__none,24,post_instr_2,or_bench,-0.09298982364878662,2.608624959003758,0.07885808881126835,-0.11958088456521695,-0.03562444821000099,0.3895646333694458,0.3016713261604309,0.3157496452331543,1737,1883,67,433,0.092,-1.050831587047233,1.4467059028368578,1.4002604661150413,3.1491794227532877,-1.1143802384642991,1.7767485662018256,-1.0605335591396132,1.4196812399805372,-0.5426368564367294,0.5942097231745713,-0.39340331554412844,0.6826525375247001,-0.44843021035194397,0.7018811300396918,-0.6101022467017174,0.6916819274425504
dpo__none,24,post_instr_2,xstest,-0.25948179606457367,2.857620547068889,0.2039270704067902,-0.3481725059813612,-0.09043143689632416,0.5401870012283325,-0.3087865114212036,-0.2610059678554535,1737,1883,40,209,0.05622489959839357,-1.3226844799904434,1.5025276045638583,1.430408427281871,3.3822573609514985,-1.171713358159521,1.7370355988356248,-1.3887995818014212,1.4416360715363632,-0.621747225522995,0.5404532745480536,-0.25005172453820707,0.6812517166137693,-0.477204380184412,0.3608267322182655,-0.5529727309942245,0.37665765285491937
dpo__none,24,post_instr_3,all,0.38880724403935035,0.43323290785471485,0.6963656418318439,0.22270299183743225,0.6679178476333618,0.8458355665206909,0.540345311164856,-0.03305855393409729,1737,1883,438,811,0.3458767013610889,0.37131410270708554,0.40626972657909627,0.42169536132113633,0.44809115555859735,0.6706831892614958,0.7208228319853209,0.2034817986450715,0.24392327648819753,0.6502437010407448,0.6847124755382538,0.8235427111387252,0.8564057901501655,0.5039623364806175,0.5736821696162223,-0.06895304229110479,0.0023828475619666082
dpo__none,24,post_instr_3,false_reject,0.6339162194649395,0.5345706977487461,0.7546173753554253,0.397513295094699,0.7644674777984619,0.8422006368637085,0.5460108518600464,-0.15174472332000732,1737,1883,331,169,0.664,0.613145023245791,0.6583095331165635,0.5216755397722624,0.5492487440624643,0.728894807353329,0.7818689583028914,0.3661970044077511,0.43499755721082345,0.7502542123198509,0.7789165630936623,0.7993961408734321,0.8530662044882774,0.4909602254629135,0.5808106392621993,-0.19554154425859452,-0.1068333696573974
dpo__none,24,post_instr_3,or_bench,0.23959788305102925,0.5486504755943664,0.564436283909504,0.18933421821340182,0.4002065062522888,0.808861255645752,0.01930747926235199,-0.3321647346019745,1737,1883,67,433,0.152,0.21552539648471838,0.2657764648241465,0.532398006412011,0.5660912604189218,0.4940610830141111,0.6403265604140623,0.1642135834795997,0.21493203191169039,0.3634919121861458,0.4370308950543403,0.7447576344013214,0.825924813747406,-0.06375910118222236,0.1026074523106217,-0.39853707402944566,-0.2531103983521462
dpo__none,24,post_instr_3,xstest,0.19623794319836455,0.5563941094066066,0.43531451841769364,0.15048166511214373,0.3326144218444824,0.7273526191711426,0.3001343607902527,0.061720602214336395,1737,1883,40,209,0.0963855421686747,0.17584059013160336,0.22145657731183885,0.5432262674472174,0.5766801342514226,0.3793703464665812,0.499924482045651,0.12848544496727565,0.1753884502001543,0.2996188089251518,0.3661495871841907,0.6125955864787102,0.7577835336327552,0.2224636733531952,0.3525715440511703,-0.011930596595630049,0.12783466838300228
dpo__none,24,post_instr_4,all,-0.22124840072141452,1.8727780968101397,-0.0921891960019559,-0.29095021946763716,-0.11732330918312073,0.28644150495529175,0.5034581422805786,0.5407993793487549,1737,1883,438,811,0.09527622097678143,-0.5508078099163322,0.4699572573772482,1.3254045576927886,2.285833422664331,-0.5081349789828216,0.6891823762358268,-0.5819078275697308,0.3497815889198982,-0.3420106776058674,0.20958024151623225,-0.0751873530447483,0.5426560953259466,-0.14296183623373507,0.7748768493533134,-0.09048274941742418,0.7634447947144507
dpo__none,24,post_instr_4,false_reject,-0.04439457637254636,2.0885354619403116,-0.11458887794212476,0.09308726054259614,-0.021251477301120758,-0.16871942579746246,0.7475793361663818,0.7441619038581848,1737,1883,331,169,0.11,-0.4251367958481465,0.6662515304710015,1.545127775809428,2.5185475211546993,-0.553915428837085,0.7497917860726029,-0.3421819111660138,0.5595544484689556,-0.23804628811776637,0.2849476099014277,-0.4170972615480423,0.2752597399055948,0.22119189351797106,0.8062926203012465,0.2446960300207138,0.8071070030331611
dpo__none,24,post_instr_4,or_bench,-0.5398850386621181,2.611262807943527,-0.31388737863020194,-0.5748549903132375,-0.2024703174829483,0.4982622563838959,-0.2227625995874405,-0.12445695698261261,1737,1883,67,433,0.094,-0.9628390323038417,0.41899266865424295,1.8545300111988692,3.1932585156256343,-0.9463166589870469,0.6397510800282263,-1.0109097496244528,0.3837306973940136,-0.43340467363595964,0.1340147897601124,-0.15453188009560107,0.6324414700269699,-0.8715990334749222,0.6793000444769859,-0.82947868257761,0.6692347690463065
