source,probe,metric,value,train_on,test_on,layer,position
all,behavior,transfer_auroc,0.9479672268955948,sft__none,final__none,16,pre_gen
all,group,transfer_accuracy,0.9848018073526391,dpo__none,final__none,16,pre_gen
all,behavior,transfer_auroc,0.9713494435136084,dpo__none,final__none,16,pre_gen
all,group,cv_accuracy,0.7844374342797056,base__none,base__none,16,first_gen
all,group,majority,0.33613739922888186,base__none,base__none,16,first_gen
all,behavior,cv_auroc,0.6121151122045777,base__none,base__none,16,first_gen
all,behavior,refusal_rate,0.1772679874869656,base__none,base__none,16,first_gen
false_reject,behavior,cv_auroc,0.5886814024390243,base__none,base__none,16,first_gen
or_bench,behavior,cv_auroc,0.6781238309016085,base__none,base__none,16,first_gen
xstest,behavior,cv_auroc,0.5918491484184915,base__none,base__none,16,first_gen
all,group,cv_accuracy,0.8419094854308742,sft__none,sft__none,16,first_gen
all,group,majority,0.3883033684645588,sft__none,sft__none,16,first_gen
all,behavior,cv_auroc,0.9209564589999373,sft__none,sft__none,16,first_gen
all,behavior,refusal_rate,0.4433734939759036,sft__none,sft__none,16,first_gen
false_reject,behavior,cv_auroc,0.921804576135947,sft__none,sft__none,16,first_gen
or_bench,behavior,cv_auroc,0.8889620253164556,sft__none,sft__none,16,first_gen
xstest,behavior,cv_auroc,0.7084190476190476,sft__none,sft__none,16,first_gen
all,group,cv_accuracy,0.840041067761807,dpo__none,dpo__none,16,first_gen
all,group,majority,0.3868583162217659,dpo__none,dpo__none,16,first_gen
all,behavior,cv_auroc,0.9089967287693754,dpo__none,dpo__none,16,first_gen
all,behavior,refusal_rate,0.3506805444355484,dpo__none,dpo__none,16,first_gen
false_reject,behavior,cv_auroc,0.8654963442321099,dpo__none,dpo__none,16,first_gen
or_bench,behavior,cv_auroc,0.8080038606045983,dpo__none,dpo__none,16,first_gen
xstest,behavior,cv_auroc,0.792464114832536,dpo__none,dpo__none,16,first_gen
all,group,cv_accuracy,0.8369275005134524,final__none,final__none,16,first_gen
all,group,majority,0.3869377695625385,final__none,final__none,16,first_gen
all,behavior,cv_auroc,0.9196131944564396,final__none,final__none,16,first_gen
all,behavior,refusal_rate,0.33466773418734985,final__none,final__none,16,first_gen
false_reject,behavior,cv_auroc,0.8907103825136612,final__none,final__none,16,first_gen
or_bench,behavior,cv_auroc,0.8243434673640623,final__none,final__none,16,first_gen
xstest,behavior,cv_auroc,0.7973022238425082,final__none,final__none,16,first_gen
all,group,transfer_accuracy,0.7108906798925397,base__none,sft__none,16,first_gen
all,behavior,transfer_auroc,0.8758809628374846,base__none,sft__none,16,first_gen
all,group,transfer_accuracy,0.7295687885010267,base__none,dpo__none,16,first_gen
all,behavior,transfer_auroc,0.8602886115005433,base__none,dpo__none,16,first_gen
all,group,transfer_accuracy,0.7299240090367632,base__none,final__none,16,first_gen
all,behavior,transfer_auroc,0.8659970405172762,base__none,final__none,16,first_gen
all,group,transfer_accuracy,0.9451745379876797,sft__none,dpo__none,16,first_gen
all,behavior,transfer_auroc,0.9472014368641228,sft__none,dpo__none,16,first_gen
all,group,transfer_accuracy,0.9396179913739988,sft__none,final__none,16,first_gen
all,behavior,transfer_auroc,0.948781948306934,sft__none,final__none,16,first_gen
all,group,transfer_accuracy,0.986650236188129,dpo__none,final__none,16,first_gen
all,behavior,transfer_auroc,0.9740814951721278,dpo__none,final__none,16,first_gen
all,group,cv_accuracy,0.7882930248860848,base__none,base__none,19,pre_gen
all,group,majority,0.33613739922888186,base__none,base__none,19,pre_gen
all,behavior,cv_auroc,0.5924923581599939,base__none,base__none,19,pre_gen
all,behavior,refusal_rate,0.1772679874869656,base__none,base__none,19,pre_gen
false_reject,behavior,cv_auroc,0.6011432926829268,base__none,base__none,19,pre_gen
or_bench,behavior,cv_auroc,0.6475869809203142,base__none,base__none,19,pre_gen
xstest,behavior,cv_auroc,0.4981751824817518,base__none,base__none,19,pre_gen
all,group,cv_accuracy,0.8574085554866708,sft__none,sft__none,19,pre_gen
all,group,majority,0.3883033684645588,sft__none,sft__none,19,pre_gen
all,behavior,cv_auroc,0.8676046176046175,sft__none,sft__none,19,pre_gen
all,behavior,refusal_rate,0.4433734939759036,sft__none,sft__none,19,pre_gen
false_reject,behavior,cv_auroc,0.8976946798645706,sft__none,sft__none,19,pre_gen
or_bench,behavior,cv_auroc,0.7250886075949368,sft__none,sft__none,19,pre_gen
xstest,behavior,cv_auroc,0.6863238095238094,sft__none,sft__none,19,pre_gen
all,group,cv_accuracy,0.8613963039014374,dpo__none,dpo__none,19,pre_gen
all,group,majority,0.3868583162217659,dpo__none,dpo__none,19,pre_gen
all,behavior,cv_auroc,0.912259513875986,dpo__none,dpo__none,19,pre_gen
all,behavior,refusal_rate,0.3506805444355484,dpo__none,dpo__none,19,pre_gen
false_reject,behavior,cv_auroc,0.8897549116001358,dpo__none,dpo__none,19,pre_gen
or_bench,behavior,cv_auroc,0.8251352935093584,dpo__none,dpo__none,19,pre_gen
xstest,behavior,cv_auroc,0.7687799043062201,dpo__none,dpo__none,19,pre_gen
all,group,cv_accuracy,0.858081741630725,final__none,final__none,19,pre_gen
all,group,majority,0.3869377695625385,final__none,final__none,19,pre_gen
all,behavior,cv_auroc,0.917206455587607,final__none,final__none,19,pre_gen
all,behavior,refusal_rate,0.33466773418734985,final__none,final__none,19,pre_gen
false_reject,behavior,cv_auroc,0.8873556062806944,final__none,final__none,19,pre_gen
or_bench,behavior,cv_auroc,0.8381097671715521,final__none,final__none,19,pre_gen
xstest,behavior,cv_auroc,0.8197836918216064,final__none,final__none,19,pre_gen
all,group,transfer_accuracy,0.7224633188675346,base__none,sft__none,19,pre_gen
all,behavior,transfer_auroc,0.8418344940084069,base__none,sft__none,19,pre_gen
all,group,transfer_accuracy,0.7234086242299794,base__none,dpo__none,19,pre_gen
all,behavior,transfer_auroc,0.8578281506004763,base__none,dpo__none,19,pre_gen
all,group,transfer_accuracy,0.7239679605668515,base__none,final__none,19,pre_gen
all,behavior,transfer_auroc,0.8613044754979013,base__none,final__none,19,pre_gen
all,group,transfer_accuracy,0.9722792607802875,sft__none,dpo__none,19,pre_gen
all,behavior,transfer_auroc,0.9409996115061737,sft__none,dpo__none,19,pre_gen
all,group,transfer_accuracy,0.9673444239063462,sft__none,final__none,19,pre_gen
all,behavior,transfer_auroc,0.9481543537215208,sft__none,final__none,19,pre_gen
all,group,transfer_accuracy,0.9944547134935305,dpo__none,final__none,19,pre_gen
all,behavior,transfer_auroc,0.9742340755071137,dpo__none,final__none,19,pre_gen
all,group,cv_accuracy,0.7763757448300035,base__none,base__none,19,first_gen
all,group,majority,0.33613739922888186,base__none,base__none,19,first_gen
all,behavior,cv_auroc,0.5843211809438604,base__none,base__none,19,first_gen
all,behavior,refusal_rate,0.1772679874869656,base__none,base__none,19,first_gen
false_reject,behavior,cv_auroc,0.5635289634146342,base__none,base__none,19,first_gen
or_bench,behavior,cv_auroc,0.6512345679012346,base__none,base__none,19,first_gen
xstest,behavior,cv_auroc,0.5173357664233577,base__none,base__none,19,first_gen
all,group,cv_accuracy,0.8383963628848936,sft__none,sft__none,19,first_gen
all,group,majority,0.3883033684645588,sft__none,sft__none,19,first_gen
all,behavior,cv_auroc,0.921400861618253,sft__none,sft__none,19,first_gen
all,behavior,refusal_rate,0.4433734939759036,sft__none,sft__none,19,first_gen
false_reject,behavior,cv_auroc,0.9224299670052404,sft__none,sft__none,19,first_gen
or_bench,behavior,cv_auroc,0.8864050632911393,sft__none,sft__none,19,first_gen
xstest,behavior,cv_auroc,0.7098666666666668,sft__none,sft__none,19,first_gen
all,group,cv_accuracy,0.8406570841889117,dpo__none,dpo__none,19,first_gen
all,group,majority,0.3868583162217659,dpo__none,dpo__none,19,first_gen
all,behavior,cv_auroc,0.9017166922847377,dpo__none,dpo__none,19,first_gen
all,behavior,refusal_rate,0.3506805444355484,dpo__none,dpo__none,19,first_gen
false_reject,behavior,cv_auroc,0.8589177496916284,dpo__none,dpo__none,19,first_gen
or_bench,behavior,cv_auroc,0.7938368205163558,dpo__none,dpo__none,19,first_gen
xstest,behavior,cv_auroc,0.7613636363636364,dpo__none,dpo__none,19,first_gen
all,group,cv_accuracy,0.8367221195317314,final__none,final__none,19,first_gen
all,group,majority,0.3869377695625385,final__none,final__none,19,first_gen
all,behavior,cv_auroc,0.909799112155183,final__none,final__none,19,first_gen
all,behavior,refusal_rate,0.33466773418734985,final__none,final__none,19,first_gen
false_reject,behavior,cv_auroc,0.8778965207166078,final__none,final__none,19,first_gen
or_bench,behavior,cv_auroc,0.8124296247866042,final__none,final__none,19,first_gen
xstest,behavior,cv_auroc,0.7614533965244865,final__none,final__none,19,first_gen
all,group,transfer_accuracy,0.7276296755528001,base__none,sft__none,19,first_gen
all,behavior,transfer_auroc,0.8925852730200556,base__none,sft__none,19,first_gen
all,group,transfer_accuracy,0.731211498973306,base__none,dpo__none,19,first_gen
all,behavior,transfer_auroc,0.837485712998778,base__none,dpo__none,19,first_gen
all,group,transfer_accuracy,0.7313616759088108,base__none,final__none,19,first_gen
all,behavior,transfer_auroc,0.8495615474524841,base__none,final__none,19,first_gen
all,group,transfer_accuracy,0.9457905544147844,sft__none,dpo__none,19,first_gen
all,behavior,transfer_auroc,0.938817852698906,sft__none,dpo__none,19,first_gen
all,group,transfer_accuracy,0.9414664202094886,sft__none,final__none,19,first_gen
all,behavior,transfer_auroc,0.9407095849239114,sft__none,final__none,19,first_gen
all,group,transfer_accuracy,0.9915793797494352,dpo__none,final__none,19,first_gen
all,behavior,transfer_auroc,0.9698006091697903,dpo__none,final__none,19,first_gen
all,group,cv_accuracy,0.7795303189624956,base__none,base__none,24,pre_gen
all,group,majority,0.33613739922888186,base__none,base__none,24,pre_gen
all,behavior,cv_auroc,0.5928054872138969,base__none,base__none,24,pre_gen
all,behavior,refusal_rate,0.1772679874869656,base__none,base__none,24,pre_gen
false_reject,behavior,cv_auroc,0.567530487804878,base__none,base__none,24,pre_gen
or_bench,behavior,cv_auroc,0.6471661054994389,base__none,base__none,24,pre_gen
xstest,behavior,cv_auroc,0.5647810218978102,base__none,base__none,24,pre_gen
all,group,cv_accuracy,0.8543087414755115,sft__none,sft__none,24,pre_gen
all,group,majority,0.3883033684645588,sft__none,sft__none,24,pre_gen
all,behavior,cv_auroc,0.8765449526319091,sft__none,sft__none,24,pre_gen
all,behavior,refusal_rate,0.4433734939759036,sft__none,sft__none,24,pre_gen
false_reject,behavior,cv_auroc,0.8998727653059024,sft__none,sft__none,24,pre_gen
or_bench,behavior,cv_auroc,0.7393924050632911,sft__none,sft__none,24,pre_gen
xstest,behavior,cv_auroc,0.7069714285714286,sft__none,sft__none,24,pre_gen
all,group,cv_accuracy,0.8482546201232033,dpo__none,dpo__none,24,pre_gen
all,group,majority,0.3868583162217659,dpo__none,dpo__none,24,pre_gen
all,behavior,cv_auroc,0.9128225484068936,dpo__none,dpo__none,24,pre_gen
all,behavior,refusal_rate,0.3506805444355484,dpo__none,dpo__none,24,pre_gen
false_reject,behavior,cv_auroc,0.8828545379788699,dpo__none,dpo__none,24,pre_gen
or_bench,behavior,cv_auroc,0.8244458998310985,dpo__none,dpo__none,24,pre_gen
xstest,behavior,cv_auroc,0.7753588516746411,dpo__none,dpo__none,24,pre_gen
