layer,position,vector,pair,cosine
19,pre_gen,harmless,base__none->dpo__none,0.5244532823562622
19,pre_gen,harmless,base__none->final__none,0.5202507972717285
19,pre_gen,harmless,sft__none->dpo__none,0.9513622522354126
19,pre_gen,harmless,sft__none->final__none,0.945717453956604
19,pre_gen,harmless,dpo__none->final__none,0.9990692138671875
19,pre_gen,pseudo_harm,base__none->sft__none,0.7527492642402649
19,pre_gen,pseudo_harm,base__none->dpo__none,0.7305763363838196
19,pre_gen,pseudo_harm,base__none->final__none,0.7301276922225952
19,pre_gen,pseudo_harm,sft__none->dpo__none,0.9564849138259888
19,pre_gen,pseudo_harm,sft__none->final__none,0.9530922174453735
19,pre_gen,pseudo_harm,dpo__none->final__none,0.9995379447937012
19,pre_gen,harmful,base__none->sft__none,0.49018558859825134
19,pre_gen,harmful,base__none->dpo__none,0.46882855892181396
19,pre_gen,harmful,base__none->final__none,0.4663292169570923
19,pre_gen,harmful,sft__none->dpo__none,0.986250638961792
19,pre_gen,harmful,sft__none->final__none,0.9853139519691467
19,pre_gen,harmful,dpo__none->final__none,0.9995988607406616
19,pre_gen,v_ref,base__none->sft__none,0.1639854460954666
19,pre_gen,v_ref,base__none->dpo__none,0.1487942636013031
19,pre_gen,v_ref,base__none->final__none,0.14666101336479187
19,pre_gen,v_ref,sft__none->dpo__none,0.9669910669326782
19,pre_gen,v_ref,sft__none->final__none,0.9642361402511597
19,pre_gen,v_ref,dpo__none->final__none,0.9994934797286987
19,pre_gen,v_over,base__none->sft__none,0.4309125542640686
19,pre_gen,v_over,base__none->dpo__none,0.3587789833545685
19,pre_gen,v_over,base__none->final__none,0.35700201988220215
19,pre_gen,v_over,sft__none->dpo__none,0.9377052783966064
19,pre_gen,v_over,sft__none->final__none,0.9336026906967163
19,pre_gen,v_over,dpo__none->final__none,0.9990795254707336
19,first_gen,harmless,base__none->sft__none,0.7746589779853821
19,first_gen,harmless,base__none->dpo__none,0.6947373151779175
19,first_gen,harmless,base__none->final__none,0.690207302570343
19,first_gen,harmless,sft__none->dpo__none,0.9450908303260803
19,first_gen,harmless,sft__none->final__none,0.9420796632766724
19,first_gen,harmless,dpo__none->final__none,0.9988524913787842
19,first_gen,pseudo_harm,base__none->sft__none,0.7443386912345886
19,first_gen,pseudo_harm,base__none->dpo__none,0.7920514345169067
19,first_gen,pseudo_harm,base__none->final__none,0.7917674779891968
19,first_gen,pseudo_harm,sft__none->dpo__none,0.9441924095153809
19,first_gen,pseudo_harm,sft__none->final__none,0.9419583082199097
19,first_gen,pseudo_harm,dpo__none->final__none,0.999617338180542
19,first_gen,harmful,base__none->sft__none,0.47421565651893616
19,first_gen,harmful,base__none->dpo__none,0.466553658246994
19,first_gen,harmful,base__none->final__none,0.46652519702911377
19,first_gen,harmful,sft__none->dpo__none,0.9900151491165161
19,first_gen,harmful,sft__none->final__none,0.9891769289970398
19,first_gen,harmful,dpo__none->final__none,0.9997583031654358
19,first_gen,v_ref,base__none->sft__none,0.16054363548755646
19,first_gen,v_ref,base__none->dpo__none,0.15036141872406006
19,first_gen,v_ref,base__none->final__none,0.1512671560049057
19,first_gen,v_ref,sft__none->dpo__none,0.9796082377433777
19,first_gen,v_ref,sft__none->final__none,0.9797297716140747
19,first_gen,v_ref,dpo__none->final__none,0.9995346069335938
19,first_gen,v_over,base__none->sft__none,0.22170758247375488
19,first_gen,v_over,base__none->dpo__none,0.19172319769859314
19,first_gen,v_over,base__none->final__none,0.19760337471961975
19,first_gen,v_over,sft__none->dpo__none,0.9373815059661865
19,first_gen,v_over,sft__none->final__none,0.9307993650436401
19,first_gen,v_over,dpo__none->final__none,0.9970653057098389
24,pre_gen,harmless,base__none->sft__none,0.5426037311553955
24,pre_gen,harmless,base__none->dpo__none,0.49114036560058594
24,pre_gen,harmless,base__none->final__none,0.4873679280281067
24,pre_gen,harmless,sft__none->dpo__none,0.9525290727615356
24,pre_gen,harmless,sft__none->final__none,0.9456577301025391
24,pre_gen,harmless,dpo__none->final__none,0.9989296197891235
24,pre_gen,pseudo_harm,base__none->sft__none,0.7139753103256226
24,pre_gen,pseudo_harm,base__none->dpo__none,0.6840518116950989
24,pre_gen,pseudo_harm,base__none->final__none,0.6828405857086182
24,pre_gen,pseudo_harm,sft__none->dpo__none,0.9535191059112549
24,pre_gen,pseudo_harm,sft__none->final__none,0.9493494629859924
24,pre_gen,pseudo_harm,dpo__none->final__none,0.9994728565216064
24,pre_gen,harmful,base__none->sft__none,0.43685340881347656
24,pre_gen,harmful,base__none->dpo__none,0.4165171682834625
24,pre_gen,harmful,base__none->final__none,0.413514107465744
24,pre_gen,harmful,sft__none->dpo__none,0.9870923757553101
24,pre_gen,harmful,sft__none->final__none,0.9861188530921936
24,pre_gen,harmful,dpo__none->final__none,0.999606728553772
24,pre_gen,v_ref,base__none->sft__none,0.1333490014076233
24,pre_gen,v_ref,base__none->dpo__none,0.11690457165241241
24,pre_gen,v_ref,base__none->final__none,0.1155335009098053
24,pre_gen,v_ref,sft__none->dpo__none,0.9762281179428101
24,pre_gen,v_ref,sft__none->final__none,0.9743679761886597
24,pre_gen,v_ref,dpo__none->final__none,0.9996103048324585
24,pre_gen,v_over,base__none->sft__none,0.4298834800720215
24,pre_gen,v_over,base__none->dpo__none,0.31766068935394287
24,pre_gen,v_over,base__none->final__none,0.31904447078704834
24,pre_gen,v_over,sft__none->dpo__none,0.9224317073822021
24,pre_gen,v_over,sft__none->final__none,0.9196442365646362
24,pre_gen,v_over,dpo__none->final__none,0.9991346001625061
24,first_gen,harmless,base__none->sft__none,0.7569800019264221
24,first_gen,harmless,base__none->dpo__none,0.6636034250259399
24,first_gen,harmless,base__none->final__none,0.6552091240882874
24,first_gen,harmless,sft__none->dpo__none,0.9324851632118225
24,first_gen,harmless,sft__none->final__none,0.9264189004898071
24,first_gen,harmless,dpo__none->final__none,0.9983206987380981
24,first_gen,pseudo_harm,base__none->sft__none,0.6843571662902832
24,first_gen,pseudo_harm,base__none->dpo__none,0.7476669549942017
24,first_gen,pseudo_harm,base__none->final__none,0.747057318687439
24,first_gen,pseudo_harm,sft__none->dpo__none,0.9386488199234009
24,first_gen,pseudo_harm,sft__none->final__none,0.9354544878005981
24,first_gen,pseudo_harm,dpo__none->final__none,0.9994467496871948
24,first_gen,harmful,base__none->sft__none,0.4092133641242981
24,first_gen,harmful,base__none->dpo__none,0.40264734625816345
24,first_gen,harmful,base__none->final__none,0.4018692970275879
24,first_gen,harmful,sft__none->dpo__none,0.9881892204284668
24,first_gen,harmful,sft__none->final__none,0.9871082901954651
24,first_gen,harmful,dpo__none->final__none,0.9996964335441589
24,first_gen,v_ref,base__none->sft__none,0.1430380791425705
24,first_gen,v_ref,base__none->dpo__none,0.1302071213722229
24,first_gen,v_ref,base__none->final__none,0.12894059717655182
24,first_gen,v_ref,sft__none->dpo__none,0.9814032316207886
24,first_gen,v_ref,sft__none->final__none,0.9811981916427612
24,first_gen,v_ref,dpo__none->final__none,0.9995343685150146
24,first_gen,v_over,base__none->sft__none,0.2189127504825592
24,first_gen,v_over,base__none->dpo__none,0.17057795822620392
24,first_gen,v_over,base__none->final__none,0.170270174741745
24,first_gen,v_over,sft__none->dpo__none,0.9397585391998291
24,first_gen,v_over,sft__none->final__none,0.9332025051116943
24,first_gen,v_over,dpo__none->final__none,0.9970552921295166
26,pre_gen,harmless,base__none->sft__none,0.5316236019134521
26,pre_gen,harmless,base__none->dpo__none,0.47562700510025024
26,pre_gen,harmless,base__none->final__none,0.4698713421821594
26,pre_gen,harmless,sft__none->dpo__none,0.9502813816070557
26,pre_gen,harmless,sft__none->final__none,0.9429559111595154
26,pre_gen,harmless,dpo__none->final__none,0.9988335371017456
26,pre_gen,pseudo_harm,base__none->sft__none,0.6915980577468872
26,pre_gen,pseudo_harm,base__none->dpo__none,0.6610337495803833
26,pre_gen,pseudo_harm,base__none->final__none,0.6591528654098511
26,pre_gen,pseudo_harm,sft__none->dpo__none,0.9517730474472046
26,pre_gen,pseudo_harm,sft__none->final__none,0.9473203420639038
26,pre_gen,pseudo_harm,dpo__none->final__none,0.9994334578514099
26,pre_gen,harmful,base__none->sft__none,0.4181837737560272
26,pre_gen,harmful,base__none->dpo__none,0.39866769313812256
26,pre_gen,harmful,base__none->final__none,0.3947753310203552
26,pre_gen,harmful,sft__none->dpo__none,0.9859690070152283
26,pre_gen,harmful,sft__none->final__none,0.9848841428756714
26,pre_gen,harmful,dpo__none->final__none,0.999565839767456
26,pre_gen,v_ref,base__none->sft__none,0.12358961254358292
26,pre_gen,v_ref,base__none->dpo__none,0.10568506270647049
26,pre_gen,v_ref,base__none->final__none,0.10424194484949112
26,pre_gen,v_ref,sft__none->dpo__none,0.9755436778068542
26,pre_gen,v_ref,sft__none->final__none,0.973576545715332
26,pre_gen,v_ref,dpo__none->final__none,0.9995948672294617
26,pre_gen,v_over,base__none->sft__none,0.4243786334991455
26,pre_gen,v_over,base__none->dpo__none,0.31987687945365906
26,pre_gen,v_over,base__none->final__none,0.32100802659988403
26,pre_gen,v_over,sft__none->dpo__none,0.9220017790794373
26,pre_gen,v_over,sft__none->final__none,0.918830931186676
26,pre_gen,v_over,dpo__none->final__none,0.9991421103477478
26,first_gen,harmless,base__none->sft__none,0.7415951490402222
26,first_gen,harmless,base__none->dpo__none,0.6379655599594116
26,first_gen,harmless,base__none->final__none,0.6276971101760864
26,first_gen,harmless,sft__none->dpo__none,0.9287547469139099
26,first_gen,harmless,sft__none->final__none,0.9214097261428833
26,first_gen,harmless,dpo__none->final__none,0.998143196105957
26,first_gen,pseudo_harm,base__none->sft__none,0.6639742851257324
26,first_gen,pseudo_harm,base__none->dpo__none,0.7295458912849426
26,first_gen,pseudo_harm,base__none->final__none,0.7285666465759277
26,first_gen,pseudo_harm,sft__none->dpo__none,0.937671422958374
26,first_gen,pseudo_harm,sft__none->final__none,0.933836042881012
26,first_gen,pseudo_harm,dpo__none->final__none,0.9993718266487122
26,first_gen,harmful,base__none->sft__none,0.39473313093185425
26,first_gen,harmful,base__none->dpo__none,0.3892039656639099
26,first_gen,harmful,base__none->final__none,0.38798779249191284
26,first_gen,harmful,sft__none->dpo__none,0.98798668384552
26,first_gen,harmful,sft__none->final__none,0.9868364334106445
26,first_gen,harmful,dpo__none->final__none,0.9996880292892456
26,first_gen,v_ref,base__none->sft__none,0.1323832869529724
26,first_gen,v_ref,base__none->dpo__none,0.12047450244426727
26,first_gen,v_ref,base__none->final__none,0.11961047351360321
26,first_gen,v_ref,sft__none->dpo__none,0.982709527015686
26,first_gen,v_ref,sft__none->final__none,0.9823634624481201
26,first_gen,v_ref,dpo__none->final__none,0.9995639324188232
26,first_gen,v_over,base__none->sft__none,0.21242278814315796
26,first_gen,v_over,base__none->dpo__none,0.1735915243625641
26,first_gen,v_over,base__none->final__none,0.1721203327178955
26,first_gen,v_over,sft__none->dpo__none,0.9422653913497925
26,first_gen,v_over,sft__none->final__none,0.9364296197891235
26,first_gen,v_over,dpo__none->final__none,0.9971785545349121
31,pre_gen,harmless,base__none->sft__none,0.658810019493103
31,pre_gen,harmless,base__none->dpo__none,0.5296437740325928
31,pre_gen,harmless,base__none->final__none,0.5054734945297241
31,pre_gen,harmless,sft__none->dpo__none,0.9576740264892578
31,pre_gen,harmless,sft__none->final__none,0.9467837810516357
31,pre_gen,harmless,dpo__none->final__none,0.9988672733306885
31,pre_gen,pseudo_harm,base__none->sft__none,0.6035690307617188
31,pre_gen,pseudo_harm,base__none->dpo__none,0.5270482897758484
31,pre_gen,pseudo_harm,base__none->final__none,0.5135059952735901
31,pre_gen,pseudo_harm,sft__none->dpo__none,0.9681986570358276
31,pre_gen,pseudo_harm,sft__none->final__none,0.9617255330085754
31,pre_gen,pseudo_harm,dpo__none->final__none,0.9993560314178467
31,pre_gen,harmful,base__none->sft__none,0.5458524227142334
31,pre_gen,harmful,base__none->dpo__none,0.4675285220146179
31,pre_gen,harmful,base__none->final__none,0.44761210680007935
31,pre_gen,harmful,sft__none->dpo__none,0.9806491732597351
31,pre_gen,harmful,sft__none->final__none,0.9751272797584534
31,pre_gen,harmful,dpo__none->final__none,0.9992060661315918
31,pre_gen,v_ref,base__none->sft__none,0.25639304518699646
