checkpoint,layer,pos,source,grp,n,t,off_axis,t_lo,t_hi,off_lo,off_hi
sft__none,26,last_prompt,or_bench,pseudo_acc,395,-0.05512909601432863,1.0749221160048479,-0.08443585777535949,-0.010175592703286015,1.0205920761907155,1.1388286259766582
sft__none,26,last_prompt,or_bench,pseudo_ref,100,0.04903059876220174,1.0132220771848126,0.004203887994000503,0.10093488317480903,0.9694513088058152,1.1296928610545514
sft__none,26,last_prompt,xstest,pseudo_acc,177,-0.14633875340261723,1.0759311668671223,-0.17904774087013467,-0.09763173520599976,1.0325319825691845,1.1527009837126545
sft__none,26,last_prompt,xstest,pseudo_ref,273,0.16768348122717108,1.298109253130277,0.12663801405298836,0.22036795639704015,1.2296967360941744,1.359646644331133
sft__none,26,first_gen,all,pseudo_all,1445,0.38011144387922646,0.20532141929858586,0.35196100878374903,0.4093207589635584,0.1995712868962335,0.21692486253200063
sft__none,26,first_gen,all,pseudo_acc,695,-0.053348053022202954,0.252139263698697,-0.0629118004039003,-0.03991948891395089,0.23395042283557715,0.2787097910592288
sft__none,26,first_gen,all,pseudo_ref,750,0.7817839127320159,0.3084742874810119,0.7468467639805956,0.8142831323903578,0.2939807281674715,0.3266233863930221
sft__none,26,first_gen,false_reject,pseudo_acc,123,-0.044953057068724996,0.27872594295803466,-0.0621466183181498,-0.025224889819988223,0.2768897456446892,0.325436738497885
sft__none,26,first_gen,false_reject,pseudo_ref,377,0.7648964674213665,0.4240784298232085,0.7116356260687074,0.8098935225298223,0.40524353048251327,0.4481796252245691
sft__none,26,first_gen,or_bench,pseudo_acc,395,-0.06881769655503579,0.38926913458433526,-0.08045824510584468,-0.05488047703256686,0.3573755676736617,0.43163905634693517
sft__none,26,first_gen,or_bench,pseudo_ref,100,0.6571388918730589,0.40777815979752835,0.5601726176265113,0.7444968614441482,0.37483936324373485,0.4672268013519738
sft__none,26,first_gen,xstest,pseudo_acc,177,-0.024659214060681698,0.26882460509009565,-0.03906388049056313,-0.008115676305516429,0.26429990973108725,0.30807492270273723
sft__none,26,first_gen,xstest,pseudo_ref,273,0.8507621916017248,0.37460064167072704,0.801913341316027,0.8987933759849779,0.35601108619914373,0.4018842762617476
sft__none,31,last_prompt,all,pseudo_all,1445,-0.1947116297860287,0.6815924570775295,-0.2242519955321241,-0.15559148949125917,0.6353661099043144,0.7338637812631248
sft__none,31,last_prompt,all,pseudo_acc,695,-0.28182828657431497,0.6856427534654,-0.30973839479042997,-0.24151973109050898,0.6377192427178447,0.7468906406733922
sft__none,31,last_prompt,all,pseudo_ref,750,-0.11398350148074243,0.7233904529329355,-0.14452008514800077,-0.07848370042292671,0.6780015514412545,0.7732771735561241
sft__none,31,last_prompt,false_reject,pseudo_acc,123,-0.22937660794535658,0.8127286230874435,-0.27648245225044243,-0.16697808326791988,0.7709445298721729,0.8927218973119174
sft__none,31,last_prompt,false_reject,pseudo_ref,377,-0.09514282355514417,0.7920605641675001,-0.13805109982728084,-0.04436005609199853,0.7449785455960418,0.851269698962364
sft__none,31,last_prompt,or_bench,pseudo_acc,395,-0.30888545471303336,0.7829782414963236,-0.3431030678953664,-0.2639966951739785,0.7282406221674405,0.8482745934538123
sft__none,31,last_prompt,or_bench,pseudo_ref,100,-0.2710178799682438,0.7675183612146955,-0.3089451408513391,-0.2054747107925656,0.7281774709693395,0.8593145267143413
sft__none,31,last_prompt,xstest,pseudo_acc,177,-0.2578958335167284,0.7834880786191796,-0.2898859388240369,-0.21362292439565297,0.7451645080308898,0.8479273420189662
sft__none,31,last_prompt,xstest,pseudo_ref,273,-0.082479826213606,0.9253195659126523,-0.11147775769304934,-0.044042723718783636,0.8677751430828271,0.9881162624806975
sft__none,31,first_gen,all,pseudo_all,1445,0.37531966508402703,0.2071122357922558,0.34366509240609944,0.4044300211578261,0.1980316591020318,0.22317657408984007
sft__none,31,first_gen,all,pseudo_acc,695,-0.10832792874261142,0.3286094089000534,-0.12592255075315517,-0.08846891240845361,0.29726064888862813,0.3750939036243817
sft__none,31,first_gen,all,pseudo_ref,750,0.8234997908442734,0.25684855985704624,0.7872962254019537,0.8567183187674731,0.24526833659104316,0.2743536350485384
sft__none,31,first_gen,false_reject,pseudo_acc,123,-0.0530995045877954,0.3307964267105625,-0.08668116505453012,-0.013549589045460532,0.32274081594402737,0.3919705549766334
sft__none,31,first_gen,false_reject,pseudo_ref,377,0.7919803609270614,0.3647572778461155,0.7410202120656467,0.8403396735062506,0.34887146170179556,0.38880272336268984
sft__none,31,first_gen,or_bench,pseudo_acc,395,-0.180494264726568,0.540989552300257,-0.20648859565518676,-0.15435574504822183,0.4826472891630901,0.610223197917376
sft__none,31,first_gen,or_bench,pseudo_ref,100,0.7086433713927408,0.35340365449767236,0.6229717335765173,0.8102021015917807,0.33250568334029307,0.4042193045385945
sft__none,31,first_gen,xstest,pseudo_acc,177,0.014342163607236766,0.3433709062507861,-0.011579472577724185,0.04520134869977912,0.32752080456382787,0.3969851499064435
sft__none,31,first_gen,xstest,pseudo_ref,273,0.9090985860376081,0.32987825081629835,0.8573811972761285,0.9486003743904857,0.31478117580734033,0.35561051066059157
dpo__none,8,last_prompt,all,pseudo_all,1449,-0.03027215536770328,0.9494096274736099,-0.058144132144861846,0.006047716934276359,0.8982313398791225,1.0049863492846538
dpo__none,8,last_prompt,all,pseudo_acc,814,-0.11041751473953308,0.9397737804932176,-0.14203744090656983,-0.07261895595537841,0.884346179169896,1.0015680100654558
dpo__none,8,last_prompt,all,pseudo_ref,635,0.07246536089139284,1.0383731225539636,0.03730292270956649,0.11135064792626731,0.9823338566628614,1.09756795444042
dpo__none,8,last_prompt,false_reject,pseudo_acc,169,-0.048810187583322735,1.274589778606287,-0.08824914745105568,-0.005284483151426687,1.207166597775909,1.357527853229111
dpo__none,8,last_prompt,false_reject,pseudo_ref,331,0.11360406275812289,1.223113812240198,0.06435133675911178,0.16890533597200533,1.1580972414309867,1.2984420005341317
dpo__none,8,last_prompt,or_bench,pseudo_acc,433,-0.063018840102163,1.1557889222477262,-0.09848052576810316,-0.01924570378017589,1.0876264302305023,1.220046869009174
dpo__none,8,last_prompt,or_bench,pseudo_ref,67,0.01956680618452867,1.1063449282458129,-0.03660561712361756,0.10641220223759834,1.0532485974361836,1.2146820942824048
dpo__none,8,last_prompt,xstest,pseudo_acc,212,-0.256338576180078,1.1329822988732858,-0.2945407914442172,-0.20895952527883238,1.0740392194144563,1.2050818262183043
dpo__none,8,last_prompt,xstest,pseudo_ref,237,0.02996450255939078,1.4710500052467008,-0.016580140652363483,0.08093211261025432,1.3853431631907165,1.573198331052636
dpo__none,8,first_gen,all,pseudo_all,1449,0.28748767662565705,0.3342990746267959,0.2615018391637057,0.3192799661978642,0.32176844817487527,0.3546389607967791
dpo__none,8,first_gen,all,pseudo_acc,814,-0.09465783021342633,0.40421400719454204,-0.11311083887513328,-0.07319895936177659,0.3852478505285848,0.4410191256239386
dpo__none,8,first_gen,all,pseudo_ref,635,0.7773560967289724,0.3862042621588418,0.7399377149825521,0.8156588376330304,0.37235111829939727,0.4069191906762173
